Municipio,Population served,Total Population,Under 18Y
Adjuntas,Total,"17,929","3,254"
Aguada,Total,"37,866","6,094"
Aguadilla,Total,"54,056","9,473"
Aguas Buenas,Total,"24,013","4,141"
Aibonito,Total,"24,528","4,185"
Añasco,Total,"25,360","4,125"
Arecibo,Total,"86,287","14,679"
Arroyo,Total,"15,774","3,059"
Barceloneta,Total,"22,590","4,026"
Barranquitas,Total,"28,717","5,848"
Bayamón,Total,"179,387","29,908"
Cabo Rojo,Total,"46,790","7,571"
Caguas,Total,"125,961","21,430"
Camuy,Total,"32,541","5,384"
Canóvanas,Total,"42,034","7,687"
Carolina,Total,"153,371","25,240"
Cataño,Total,"23,025","4,115"
Cayey,Total,"41,481","6,909"
Ceiba,Total,"11,181","1,750"
Ciales,Total,"16,872","3,002"
Cidra,Total,"39,700","7,168"
Coamo,Total,"34,435","6,095"
Comerío,Total,"18,806","3,404"
Corozal,Total,"34,257","6,524"
Culebra,Total,"1,182",202
Dorado,Total,"35,717","6,803"
Fajardo,Total,"31,852","5,686"
Florida,Total,"11,614","2,132"
Guánica,Total,"13,527","2,361"
Guayama,Total,"33,948","6,453"
Guayanilla,Total,"17,590","3,238"
Guaynabo,Total,"89,178","13,261"
Gurabo,Total,"40,331","7,271"
Hatillo,Total,"38,219","6,236"
Hormigueros,Total,"15,477","2,265"
Humacao,Total,"50,410","8,382"
Isabela,Total,"42,415","7,005"
Jayuya,Total,"14,691","2,941"
Juana Díaz,Total,"45,939","8,878"
Juncos,Total,"36,868","7,039"
Lajas,Total,"23,152","3,741"
Lares,Total,"27,679","4,720"
Las Marías,Total,"8,752","1,672"
Las Piedras,Total,"35,044","6,247"
Loíza,Total,"23,537","4,311"
Luquillo,Total,"17,681","2,999"
Manatí,Total,"39,078","6,970"
Maricao,Total,"5,354",909
Maunabo,Total,"10,556","1,789"
Mayagüez,Total,"71,671","11,608"
Moca,Total,"37,179","6,716"
Morovis,Total,"28,603","5,324"
Naguabo,Total,"23,267","4,618"
Naranjito,Total,"29,085","5,259"
Orocovis,Total,"21,240","4,132"
Patillas,Total,"15,913","2,625"
Peñuelas,Total,"20,273","4,117"
Ponce,Total,"133,340","24,724"
Quebradillas,Total,"23,483","4,100"
Rincón,Total,"15,123","2,249"
Río Grande,Total,"46,323","7,878"
Sabana Grande,Total,"22,497","3,974"
Salinas,Total,"25,549","4,874"
San Germán,Total,"31,269","5,434"
San Juan,Total,"335,621","55,249"
San Lorenzo,Total,"37,469","6,360"
San Sebastián,Total,"38,993","6,753"
Santa Isabel,Total,"20,196","3,916"
Toa Alta,Total,"66,493","12,015"
Toa Baja,Total,"74,410","12,850"
Trujillo Alto,Total,"67,158","11,637"
Utuado,Total,"28,034","4,889"
Vega Alta,Total,"34,960","6,630"
Vega Baja,Total,"53,847","9,283"
Vieques,Total,"8,199","1,474"
Villalba,Total,"21,858","4,196"
Yabucoa,Total,"30,293","5,099"
Yauco,Total,"33,818","5,767"
Adjuntas,Percent below poverty level,63.4%,76.3%
Aguada,Percent below poverty level,47.2%,57.6%
Aguadilla,Percent below poverty level,48.7%,60.2%
Aguas Buenas,Percent below poverty level,42.9%,64.9%
Aibonito,Percent below poverty level,42.5%,59.8%
Añasco,Percent below poverty level,46.6%,57.9%
Arecibo,Percent below poverty level,44.9%,59.2%
Arroyo,Percent below poverty level,57.7%,72.3%
Barceloneta,Percent below poverty level,46.6%,60.9%
Barranquitas,Percent below poverty level,50.0%,67.6%
Bayamón,Percent below poverty level,34.8%,51.4%
Cabo Rojo,Percent below poverty level,42.1%,46.3%
Caguas,Percent below poverty level,37.0%,50.8%
Camuy,Percent below poverty level,41.7%,54.5%
Canóvanas,Percent below poverty level,36.4%,54.1%
Carolina,Percent below poverty level,31.0%,47.1%
Cataño,Percent below poverty level,45.6%,62.4%
Cayey,Percent below poverty level,39.8%,51.3%
Ceiba,Percent below poverty level,41.8%,66.2%
Ciales,Percent below poverty level,55.7%,65.6%
Cidra,Percent below poverty level,39.0%,47.6%
Coamo,Percent below poverty level,49.9%,59.1%
Comerío,Percent below poverty level,53.3%,69.6%
Corozal,Percent below poverty level,46.1%,56.0%
Culebra,Percent below poverty level,23.5%,21.8%
Dorado,Percent below poverty level,30.6%,35.9%
Fajardo,Percent below poverty level,42.6%,65.7%
Florida,Percent below poverty level,47.4%,67.7%
Guánica,Percent below poverty level,66.3%,75.3%
Guayama,Percent below poverty level,48.0%,62.6%
Guayanilla,Percent below poverty level,53.4%,69.6%
Guaynabo,Percent below poverty level,25.1%,36.5%
Gurabo,Percent below poverty level,31.9%,42.7%
Hatillo,Percent below poverty level,39.3%,47.6%
Hormigueros,Percent below poverty level,41.1%,49.9%
Humacao,Percent below poverty level,37.1%,53.3%
Isabela,Percent below poverty level,48.2%,54.1%
Jayuya,Percent below poverty level,54.7%,64.6%
Juana Díaz,Percent below poverty level,44.3%,53.2%
Juncos,Percent below poverty level,38.1%,48.8%
Lajas,Percent below poverty level,56.1%,77.1%
Lares,Percent below poverty level,56.0%,68.3%
Las Marías,Percent below poverty level,52.8%,71.4%
Las Piedras,Percent below poverty level,39.1%,48.4%
Loíza,Percent below poverty level,45.4%,62.2%
Luquillo,Percent below poverty level,45.3%,56.6%
Manatí,Percent below poverty level,45.5%,57.7%
Maricao,Percent below poverty level,52.0%,64.1%
Maunabo,Percent below poverty level,49.9%,66.0%
Mayagüez,Percent below poverty level,53.5%,73.2%
Moca,Percent below poverty level,46.7%,52.0%
Morovis,Percent below poverty level,47.5%,54.4%
Naguabo,Percent below poverty level,47.9%,70.0%
Naranjito,Percent below poverty level,48.8%,70.0%
Orocovis,Percent below poverty level,55.9%,64.0%
Patillas,Percent below poverty level,48.5%,70.0%
Peñuelas,Percent below poverty level,52.1%,65.5%
Ponce,Percent below poverty level,50.4%,66.9%
Quebradillas,Percent below poverty level,46.1%,54.2%
Rincón,Percent below poverty level,41.3%,55.7%
Río Grande,Percent below poverty level,36.2%,49.3%
Sabana Grande,Percent below poverty level,46.0%,61.0%
Salinas,Percent below poverty level,50.5%,67.9%
San Germán,Percent below poverty level,49.8%,65.6%
San Juan,Percent below poverty level,39.5%,59.2%
San Lorenzo,Percent below poverty level,45.3%,51.1%
San Sebastián,Percent below poverty level,52.4%,66.2%
Santa Isabel,Percent below poverty level,46.4%,55.8%
Toa Alta,Percent below poverty level,32.3%,42.5%
Toa Baja,Percent below poverty level,35.4%,47.5%
Trujillo Alto,Percent below poverty level,29.2%,39.5%
