municipio,total_population,percent_below_poverty_level,below_poverty_level,under_18y_total_population,under_18y_percent_below_poverty_level,under_18y_below_poverty_level
Adjuntas,17929,0.634,11363,3254,0.763,2482
Aguada,37866,0.47200000000000003,17874,6094,0.5760000000000001,3512
Aguadilla,54056,0.48700000000000004,26316,9473,0.602,5699
Aguas Buenas,24013,0.429,10305,4141,0.649,2689
Aibonito,24528,0.425,10416,4185,0.598,2503
Añasco,25360,0.466,11819,4125,0.579,2387
Arecibo,86287,0.449,38784,14679,0.5920000000000001,8688
Arroyo,15774,0.5770000000000001,9102,3059,0.723,2213
Barceloneta,22590,0.466,10535,4026,0.609,2450
Barranquitas,28717,0.5,14345,5848,0.6759999999999999,3954
Bayamón,179387,0.348,62443,29908,0.514,15387
Cabo Rojo,46790,0.42100000000000004,19720,7571,0.46299999999999997,3502
Caguas,125961,0.37,46638,21430,0.508,10876
Camuy,32541,0.41700000000000004,13563,5384,0.545,2933
Canóvanas,42034,0.364,15289,7687,0.541,4160
Carolina,153371,0.31,47473,25240,0.47100000000000003,11887
Cataño,23025,0.456,10501,4115,0.624,2567
Cayey,41481,0.39799999999999996,16494,6909,0.513,3542
Ceiba,11181,0.418,4670,1750,0.662,1158
Ciales,16872,0.557,9403,3002,0.6559999999999999,1969
Cidra,39700,0.39,15496,7168,0.47600000000000003,3410
Coamo,34435,0.499,17166,6095,0.591,3603
Comerío,18806,0.5329999999999999,10020,3404,0.696,2369
Corozal,34257,0.461,15796,6524,0.56,3653
Culebra,1182,0.235,278,202,0.218,44
Dorado,35717,0.306,10932,6803,0.359,2443
Fajardo,31852,0.426,13572,5686,0.657,3738
Florida,11614,0.474,5500,2132,0.677,1444
Guánica,13527,0.6629999999999999,8971,2361,0.753,1779
Guayama,33948,0.48,16304,6453,0.626,4041
Guayanilla,17590,0.534,9394,3238,0.696,2253
Guaynabo,89178,0.251,22396,13261,0.365,4837
Gurabo,40331,0.319,12880,7271,0.42700000000000005,3103
Hatillo,38219,0.39299999999999996,15031,6236,0.47600000000000003,2970
Hormigueros,15477,0.41100000000000003,6367,2265,0.499,1130
Humacao,50410,0.371,18710,8382,0.5329999999999999,4470
Isabela,42415,0.48200000000000004,20452,7005,0.541,3790
Jayuya,14691,0.547,8041,2941,0.6459999999999999,1900
Juana Díaz,45939,0.44299999999999995,20358,8878,0.532,4722
Juncos,36868,0.381,14031,7039,0.488,3435
Lajas,23152,0.561,12980,3741,0.7709999999999999,2884
Lares,27679,0.56,15493,4720,0.6829999999999999,3224
Las Marías,8752,0.528,4622,1672,0.7140000000000001,1194
Las Piedras,35044,0.391,13709,6247,0.484,3026
Loíza,23537,0.45399999999999996,10675,4311,0.622,2683
Luquillo,17681,0.45299999999999996,8011,2999,0.5660000000000001,1697
Manatí,39078,0.455,17778,6970,0.5770000000000001,4021
Maricao,5354,0.52,2785,909,0.6409999999999999,583
Maunabo,10556,0.499,5269,1789,0.66,1180
Mayagüez,71671,0.535,38354,11608,0.732,8502
Moca,37179,0.467,17346,6716,0.52,3489
Morovis,28603,0.475,13586,5324,0.544,2895
Naguabo,23267,0.479,11155,4618,0.7,3234
Naranjito,29085,0.488,14187,5259,0.7,3683
Orocovis,21240,0.5589999999999999,11866,4132,0.64,2646
Patillas,15913,0.485,7716,2625,0.7,1837
Peñuelas,20273,0.521,10569,4117,0.655,2698
Ponce,133340,0.504,67242,24724,0.669,16540
Quebradillas,23483,0.461,10826,4100,0.542,2224
Rincón,15123,0.413,6243,2249,0.557,1252
Río Grande,46323,0.36200000000000004,16786,7878,0.493,3885
Sabana Grande,22497,0.46,10350,3974,0.61,2424
Salinas,25549,0.505,12908,4874,0.679,3311
San Germán,31269,0.498,15579,5434,0.6559999999999999,3565
San Juan,335621,0.395,132586,55249,0.5920000000000001,32728
San Lorenzo,37469,0.45299999999999996,16961,6360,0.511,3252
San Sebastián,38993,0.524,20449,6753,0.662,4473
Santa Isabel,20196,0.46399999999999997,9377,3916,0.5579999999999999,2185
Toa Alta,66493,0.32299999999999995,21469,12015,0.425,5103
Toa Baja,74410,0.354,26378,12850,0.475,6102
Trujillo Alto,67158,0.292,19642,11637,0.395,4601
Utuado,28034,0.537,15053,4889,0.644,3148
Vega Alta,34960,0.423,14782,6630,0.486,3223
Vega Baja,53847,0.43200000000000005,23265,9283,0.5529999999999999,5136
Vieques,8199,0.541,4433,1474,0.8759999999999999,1291
Villalba,21858,0.42700000000000005,9342,4196,0.507,2127
Yabucoa,30293,0.49700000000000005,15070,5099,0.631,3216
Yauco,33818,0.43700000000000006,14770,5767,0.5379999999999999,3100
