Municipio,Population served,Total Population,Under 18Y,15 and under,16 and under 2020 census
Adjuntas,Total,"17,930",3142,2682,2977
Aguada,Total,"37,813",5918,4998,5739
Aguadilla,Total,"53,824",9083,7808,8759
Aguas Buenas,Total,"23,810",3950,3394,3827
Aibonito,Total,"24,583",4039,3376,4109
Añasco,Total,"25,215",3979,3313,3860
Arecibo,Total,"85,716",14178,12142,13503
Arroyo,Total,"15,545",2910,2485,2675
Barceloneta,Total,"22,535",3867,3385,3908
Barranquitas,Total,"28,836",5727,4953,5234
Bayamón,Total,"178,612",28835,25004,28577
Cabo Rojo,Total,"46,834",7334,6072,7129
Caguas,Total,"125,579",20704,17745,19678
Camuy,Total,"32,565",5192,4439,5209
Canóvanas,Total,"41,976",7493,6600,7190
Carolina,Total,"152,568",24282,20737,23283
Cataño,Total,"22,762",3942,3441,3877
Cayey,Total,"41,204",6604,5460,6455
Ceiba,Total,"11,052",1659,1499,1805
Ciales,Total,"16,828",2889,2588,2972
Cidra,Total,"39,633",6939,6007,6402
Coamo,Total,"34,162",5795,5036,5897
Comerío,Total,"18,756",3282,2917,3303
Corozal,Total,"34,293",6327,5351,5952
Culebra,Total,"1,281",204,174,249
Dorado,Total,"35,730",6560,5623,6291
Fajardo,Total,"31,618",5460,4784,5207
Florida,Total,"11,586",2059,1809,2033
Guánica,Total,"13,088",2173,1987,2124
Guayama,Total,"33,780",6131,5364,5722
Guayanilla,Total,"17,341",3071,2759,2858
Guaynabo,Total,"88,043",12784,10852,13054
Gurabo,Total,"40,223",6965,6012,6449
Hatillo,Total,"38,143",5966,5147,6109
Hormigueros,Total,"15,407",2166,1874,2089
Humacao,Total,"50,133",8060,6950,7983
Isabela,Total,"42,506",6782,5654,6796
Jayuya,Total,"14,613",2830,2595,2634
Juana Díaz,Total,"45,933",8546,7298,8331
Juncos,Total,"36,845",6784,6024,6688
Lajas,Total,"23,075",3603,3134,3470
Lares,Total,"27,615",4543,3898,4282
Las Marías,Total,"8,730",1618,1371,1508
Las Piedras,Total,"34,920",5980,5134,5908
Loíza,Total,"23,135",4041,3501,4128
Luquillo,Total,"17,594",2869,2328,2774
Manatí,Total,"38,894",6696,5822,6350
Maricao,Total,"5,176",861,770,794
Maunabo,Total,"10,474",1708,1424,1618
Mayagüez,Total,"70,676",11268,9469,10441
Moca,Total,"37,095",6381,5394,6237
Morovis,Total,"28,505",5111,4433,4964
Naguabo,Total,"23,123",4448,3794,4101
Naranjito,Total,"29,033",4951,4300,4986
Orocovis,Total,"21,222",4001,3402,3720
Patillas,Total,"15,727",2489,2143,2342
Peñuelas,Total,"20,077",3961,3371,3633
Ponce,Total,"131,427",23714,20551,22039
Quebradillas,Total,"23,437",3965,3495,3827
Rincón,Total,"15,252",2192,1899,2142
Río Grande,Total,"46,044",7523,6308,7503
Sabana Grande,Total,"22,432",3827,3284,3689
Salinas,Total,"25,240",4662,3783,4192
San Germán,Total,"31,190",5292,4577,4994
San Juan,Total,"334,672",53277,46084,50298
San Lorenzo,Total,"37,375",6060,5025,5984
San Sebastián,Total,"38,954",6528,5548,6264
Santa Isabel,Total,"20,046",3721,3105,3556
Toa Alta,Total,"66,300",11456,9549,11540
Toa Baja,Total,"73,604",12291,10538,11248
Trujillo Alto,Total,"67,005",11135,9391,10896
Utuado,Total,"27,765",4677,3988,4493
Vega Alta,Total,"34,875",6347,5259,6072
Vega Baja,Total,"53,745",8899,7768,9110
Vieques,Total,"8,147",1420,1225,1462
Villalba,Total,"21,670",4052,3584,3738
Yabucoa,Total,"29,821",4789,4126,4526
Yauco,Total,"33,339",5474,4580,5065
Adjuntas,Percent below poverty level,61.9%,79.9%,,
Aguada,Percent below poverty level,46.5%,60.9%,,
Aguadilla,Percent below poverty level,47.9%,61.0%,,
Aguas Buenas,Percent below poverty level,43.6%,62.3%,,
Aibonito,Percent below poverty level,44.6%,56.1%,,
Añasco,Percent below poverty level,44.9%,58.2%,,
Arecibo,Percent below poverty level,42.9%,55.8%,,
Arroyo,Percent below poverty level,54.4%,68.7%,,
Barceloneta,Percent below poverty level,45.4%,54.3%,,
Barranquitas,Percent below poverty level,49.6%,65.7%,,
Bayamón,Percent below poverty level,34.4%,50.9%,,
Cabo Rojo,Percent below poverty level,38.5%,43.7%,,
Caguas,Percent below poverty level,36.6%,51.4%,,
Camuy,Percent below poverty level,39.0%,51.5%,,
Canóvanas,Percent below poverty level,33.9%,48.8%,,
Carolina,Percent below poverty level,29.3%,46.0%,,
Cataño,Percent below poverty level,44.2%,58.2%,,
Cayey,Percent below poverty level,37.9%,50.0%,,
