municipio,total_population,percent_below_poverty_level,below_poverty_level,under_18y_total_population,under_18y_percent_below_poverty_level,under_18y_below_poverty_level,under_16y_total_population,under_16y_percent_below_poverty_level,under_16y_below_poverty_level,under_17y_total_population,under_17y_percent_below_poverty_level,under_17y_below_poverty_level,under_17y_total_population_2023
Adjuntas,17930,0.619,11107,3142,0.799,2509,2682,,,2977,,,2912
Aguada,37813,0.465,17571,5918,0.609,3604,4998,,,5739,,,5458
Aguadilla,53824,0.479,25791,9083,0.61,5539,7808,,,8759,,,8446
Aguas Buenas,23810,0.436,10388,3950,0.623,2462,3394,,,3827,,,3672
Aibonito,24583,0.446,10973,4039,0.561,2265,3376,,,4109,,,3708
Añasco,25215,0.449,11327,3979,0.5820000000000001,2315,3313,,,3860,,,3646
Arecibo,85716,0.429,36775,14178,0.5579999999999999,7910,12142,,,13503,,,13160
Arroyo,15545,0.544,8463,2910,0.687,1998,2485,,,2675,,,2698
Barceloneta,22535,0.454,10233,3867,0.543,2099,3385,,,3908,,,3626
Barranquitas,28836,0.49600000000000005,14289,5727,0.657,3762,4953,,,5234,,,5340
Bayamón,178612,0.344,61516,28835,0.509,14679,25004,,,28577,,,26920
Cabo Rojo,46834,0.385,18013,7334,0.43700000000000006,3202,6072,,,7129,,,6703
Caguas,125579,0.36600000000000005,46022,20704,0.514,10641,17745,,,19678,,,19225
Camuy,32565,0.39,12696,5192,0.515,2675,4439,,,5209,,,4816
Canóvanas,41976,0.33899999999999997,14219,7493,0.488,3654,6600,,,7190,,,7047
Carolina,152568,0.29300000000000004,44711,24282,0.46,11173,20737,,,23283,,,22510
Cataño,22762,0.44200000000000006,10066,3942,0.5820000000000001,2296,3441,,,3877,,,3692
Cayey,41204,0.379,15617,6604,0.5,3302,5460,,,6455,,,6032
Ceiba,11052,0.41600000000000004,4599,1659,0.647,1074,1499,,,1805,,,1579
Ciales,16828,0.5820000000000001,9801,2889,0.73,2108,2588,,,2972,,,2739
Cidra,39633,0.36200000000000004,14366,6939,0.43,2982,6007,,,6402,,,6473
Coamo,34162,0.52,17750,5795,0.599,3474,5036,,,5897,,,5416
Comerío,18756,0.53,9943,3282,0.748,2454,2917,,,3303,,,3100
Corozal,34293,0.44200000000000006,15142,6327,0.5770000000000001,3651,5351,,,5952,,,5839
Culebra,1281,0.20800000000000002,267,204,0.23,47,174,,,249,,,189
Dorado,35730,0.292,10439,6560,0.327,2144,5623,,,6291,,,6092
Fajardo,31618,0.41500000000000004,13114,5460,0.631,3443,4784,,,5207,,,5122
Florida,11586,0.506,5863,2059,0.7290000000000001,1502,1809,,,2033,,,1934
Guánica,13088,0.647,8474,2173,0.746,1620,1987,,,2124,,,2080
Guayama,33780,0.48600000000000004,16414,6131,0.629,3856,5364,,,5722,,,5748
Guayanilla,17341,0.502,8702,3071,0.629,1932,2759,,,2858,,,2915
Guaynabo,88043,0.24300000000000002,21393,12784,0.327,4182,10852,,,13054,,,11818
Gurabo,40223,0.32,12871,6965,0.413,2878,6012,,,6449,,,6489
Hatillo,38143,0.364,13868,5966,0.469,2797,5147,,,6109,,,5557
Hormigueros,15407,0.401,6171,2166,0.526,1140,1874,,,2089,,,2020
Humacao,50133,0.385,19315,8060,0.5710000000000001,4602,6950,,,7983,,,7505
Isabela,42506,0.467,19837,6782,0.545,3699,5654,,,6796,,,6218
Jayuya,14613,0.549,8025,2830,0.677,1915,2595,,,2634,,,2713
Juana Díaz,45933,0.429,19687,8546,0.494,4225,7298,,,8331,,,7922
Juncos,36845,0.34,12527,6784,0.444,3009,6024,,,6688,,,6404
Lajas,23075,0.53,12223,3603,0.682,2456,3134,,,3470,,,3369
Lares,27615,0.549,15152,4543,0.675,3065,3898,,,4282,,,4221
Las Marías,8730,0.54,4712,1618,0.71,1149,1371,,,1508,,,1495
