Municipio,"Less than $10,000","$10,000 to $14,999","$15,000 to $24,999","$25,000 to $34,999","$35,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 to $149,999","$150,000 to $199,999","$200,000 or more",Median income (dollars),Mean income (dollars)
Adjuntas,26.7%,16.1%,25.6%,11.9%,12.8%,4.8%,0.9%,1.3%,0.0%,0.0%,"17,659","22,341"
Aguada,24.1%,11.9%,22.2%,14.4%,12.7%,8.3%,3.5%,2.0%,0.6%,0.2%,"20,301","28,672"
Aguadilla,29.3%,12.6%,18.4%,11.1%,9.2%,10.0%,4.4%,3.0%,1.0%,0.8%,"18,348","30,605"
Aguas Buenas,23.2%,11.3%,19.8%,14.5%,12.2%,11.6%,3.3%,2.1%,0.8%,1.2%,"23,160","33,568"
Aibonito,21.0%,12.7%,20.1%,14.8%,12.6%,10.9%,3.7%,3.3%,0.2%,0.7%,"22,511","32,117"
Añasco,20.9%,12.1%,21.5%,15.7%,12.5%,10.6%,3.6%,2.5%,0.3%,0.4%,"22,673","31,060"
Arecibo,27.3%,10.2%,17.9%,13.6%,12.2%,11.2%,4.0%,2.3%,0.6%,0.7%,"21,799","31,497"
Arroyo,26.8%,17.0%,17.0%,14.4%,10.8%,7.0%,2.4%,3.3%,0.6%,0.6%,"18,496","30,953"
Barceloneta,20.4%,16.8%,20.2%,7.8%,14.8%,12.2%,5.2%,1.5%,0.6%,0.5%,"20,282","32,453"
Barranquitas,24.5%,11.7%,20.4%,13.8%,13.1%,8.6%,3.7%,3.2%,0.5%,0.4%,"21,262","30,100"
Bayamón,19.1%,9.0%,15.1%,13.6%,14.5%,14.7%,6.8%,4.9%,1.4%,1.0%,"29,403","41,287"
Cabo Rojo,21.5%,12.6%,18.9%,14.1%,11.4%,12.1%,4.3%,3.3%,0.6%,1.3%,"23,077","35,186"
Caguas,18.7%,10.0%,16.5%,12.5%,12.8%,13.3%,6.8%,5.3%,1.5%,2.6%,"29,279","46,456"
Camuy,23.4%,10.2%,19.1%,13.9%,14.8%,9.2%,5.6%,2.8%,0.6%,0.4%,"23,263","32,776"
Canóvanas,17.1%,10.9%,20.4%,12.9%,11.9%,11.9%,5.9%,4.7%,2.4%,1.9%,"26,021","43,475"
Carolina,15.7%,8.5%,15.5%,13.0%,15.8%,15.3%,8.2%,5.2%,1.5%,1.4%,"32,888","45,086"
Cataño,29.1%,9.7%,16.8%,10.5%,11.7%,10.8%,4.6%,5.1%,1.1%,0.7%,"22,407","34,146"
Cayey,20.4%,11.0%,16.0%,14.0%,14.3%,12.1%,4.7%,4.7%,1.1%,1.6%,"26,704","39,051"
Ceiba,13.7%,9.9%,30.5%,12.6%,17.2%,8.2%,3.2%,3.8%,0.8%,0.2%,"22,945","33,516"
Ciales,23.9%,12.7%,24.3%,13.4%,14.1%,8.6%,1.9%,1.0%,0.0%,0.0%,"19,618","25,235"
Cidra,18.6%,8.5%,21.7%,16.8%,11.5%,11.9%,4.4%,4.8%,1.4%,0.5%,"25,580","36,659"
Coamo,25.2%,13.8%,18.6%,11.8%,13.7%,8.6%,5.0%,2.2%,0.5%,0.6%,"20,569","30,213"
