municipio,total_ctc_credit_lower_estimate,total_ctc_credit_upper_estimate,total_ctc_credit_middle_estimate
Adjuntas,1958261.25,2104620,2031440.625
Aguada,5157250,5492837.5,5325043.75
Aguadilla,6782553.75,9480178.75,8131366.25
Aguas Buenas,3375612.5,4350012.5,3862812.5
Aibonito,3600243.75,4075887.5,3838065.625
Arecibo,11933970,14482770,13208370
Arroyo,2194602.5,3140232.5,2667417.5
Añasco,3702438.75,3912038.75,3807238.75
Barceloneta,3226426.25,4829701.25,4028063.75
Barranquitas,5136372.5,5299572.5,5217972.5
Bayamón,29371771.25,34542971.25,31957371.25
Cabo Rojo,6756546.25,7516546.25,7136546.25
Caguas,20195640,25466040,22830840
Camuy,4939913.75,5147913.75,5043913.75
Canóvanas,7213972.5,8661972.5,7937972.5
Carolina,24389631.25,34593001.25,29491316.25
Cataño,3155428.75,4337828.75,3746628.75
Cayey,5855501.25,8526581.25,7191041.25
Ceiba,1610887.5,2352632.5,1981760
Ciales,2437275,2691100,2564187.5
Cidra,6982750,7197150,7089950
Coamo,4899770,5950970,5425370
Comerío,2002600,2214678.75,2108639.375
Corozal,5351863.75,6261178.75,5806521.25
Culebra,181386.25,205632.5,193509.375
Dorado,6204751.25,7790376.25,6997563.75
Fajardo,5171552.5,5894752.5,5533152.5
Florida,1813140,2627230,2220185
Guayama,4911658.75,6222058.75,5566858.75
Guayanilla,2474346.25,3203946.25,2839146.25
Guaynabo,15013882.5,17463482.5,16238682.5
Gurabo,7365346.25,10141796.25,8753571.25
Guánica,1529230,2060505,1794867.5
Hatillo,5417783.75,7321783.75,6369783.75
Hormigueros,2021595,2973830,2497712.5
Humacao,8134493.75,8822493.75,8478493.75
Isabela,5904008.75,6139208.75,6021608.75
Jayuya,2330886.25,2494598.75,2412742.5
Juana Díaz,7740983.75,8934583.75,8337783.75
Juncos,6006796.25,8248396.25,7127596.25
Lajas,2806936.25,3183293.75,2995115
Lares,3676583.75,4028583.75,3852583.75
Las Marías,981560,1090331.25,1035945.625
Las Piedras,5734596.25,6257796.25,5996196.25
Loíza,3347883.75,4787678.75,4067781.25
Luquillo,2483615,3102815,2793215
Manatí,6220365,6268365,6244365
Maricao,670181.25,861196.25,765688.75
Maunabo,1527046.25,2236826.25,1881936.25
Mayagüez,8112285,10009885,9061085
Moca,5265322.5,6945322.5,6105322.5
Morovis,4647840,5169440,4908640
Naguabo,4039625,4078025,4058825
Naranjito,3652070,4090578.75,3871324.375
Orocovis,2951425,3333892.5,3142658.75
Patillas,1995423.75,2473823.75,2234623.75
Peñuelas,3216523.75,3688026.25,3452275
Ponce,19579856.25,22402256.25,20991056.25
Quebradillas,3284900,3864100,3574500
Rincón,2042517.5,2604117.5,2323317.5
Río Grande,7575210,8215210,7895210
Sabana Grande,2480847.5,2701822.5,2591335
Salinas,3876145,4538545,4207345
San Germán,3687933.75,4182453.75,3935193.75
San Juan,49121057.5,61417057.5,55269057.5
San Lorenzo,4730200,6586205,5658202.5
San Sebastián,5234351.25,5615738.75,5425045
Santa Isabel,3281170,3885970,3583570
Toa Alta,11915317.5,15584117.5,13749717.5
Toa Baja,12178168.75,15765368.75,13971768.75
Trujillo Alto,12564538.75,14799738.75,13682138.75
Utuado,3555216.25,3896016.25,3725616.25
Vega Alta,5813293.75,7662893.75,6738093.75
Vega Baja,8046253.75,9980653.75,9013453.75
Vieques,836481.25,888371.25,862426.25
Villalba,3365410,4623010,3994210
Yabucoa,3906911.25,5537621.25,4722266.25
Yauco,4397763.75,5103753.75,4750758.75
